Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,4/27/2016 2:00:00 PM,35,0.583333
1503960366,4/27/2016 3:00:00 PM,6,0.1
1503960366,4/27/2016 4:00:00 PM,7,0.116667
1503960366,4/27/2016 5:00:00 PM,13,0.216667
1503960366,4/27/2016 6:00:00 PM,73,1.216667
1503960366,4/27/2016 7:00:00 PM,150,2.5
1503960366,4/27/2016 8:00:00 PM,70,1.166667
1503960366,4/27/2016 9:00:00 PM,20,0.333333
1503960366,4/27/2016 10:00:00 PM,0,0.0
1503960366,4/27/2016 11:00:00 PM,0,0.0
1503960366,4/28/2016 12:00:00 AM,0,0.0
1503960366,4/28/2016 1:00:00 AM,10,0.166667
1503960366,4/28/2016 2:00:00 AM,0,0.0
1503960366,4/28/2016 3:00:00 AM,0,0.0
1503960366,4/28/2016 4:00:00 AM,0,0.0
1503960366,4/28/2016 5:00:00 AM,0,0.0
1503960366,4/28/2016 6:00:00 AM,0,0.0
1503960366,4/28/2016 7:00:00 AM,1,0.016667
1503960366,4/28/2016 8:00:00 AM,11,0.183333
1503960366,4/28/2016 9:00:00 AM,38,0.633333
1503960366,4/28/2016 10:00:00 AM,19,0.316667
1503960366,4/28/2016 11:00:00 AM,10,0.166667
1503960366,4/28/2016 12:00:00 PM,16,0.266667
1503960366,4/28/2016 1:00:00 PM,33,0.55
1503960366,4/28/2016 2:00:00 PM,47,0.783333
1503960366,4/28/2016 3:00:00 PM,5,0.083333
1503960366,4/28/2016 4:00:00 PM,10,0.166667
1503960366,4/28/2016 5:00:00 PM,11,0.183333
1503960366,4/28/2016 6:00:00 PM,56,0.933333
1503960366,4/28/2016 7:00:00 PM,1,0.016667
1503960366,4/28/2016 8:00:00 PM,50,0.833333
1503960366,4/28/2016 9:00:00 PM,21,0.35
1503960366,4/28/2016 10:00:00 PM,2,0.033333
1503960366,4/28/2016 11:00:00 PM,48,0.8
1503960366,4/29/2016 12:00:00 AM,9,0.15
1503960366,4/29/2016 1:00:00 AM,0,0.0
1503960366,4/29/2016 2:00:00 AM,4,0.066667
1503960366,4/29/2016 3:00:00 AM,0,0.0
